Source,Target,Weight,July19Topic,PostDate
User1151,Post609,2,9,JanApr-17
User1049,Post025,2,7,JanApr-17
User1043,Post172,2,18,MayAug-17
User1029,Post500,2,5,JanApr-17
User1016,Post185,2,13,JanApr-17
User0962,Post025,2,7,JanApr-17
User0931,Post120,2,8,JanApr-17
User0902,Post066,2,12,JanApr-17
User0455,Post290,2,7,JanApr-17
User0809,Post398,2,15,MayAug-17
User0776,Post500,2,5,JanApr-17
User0706,Post044,2,16,JanApr-17
User0696,Post500,2,5,JanApr-17
User0655,Post201,2,13,JanApr-17
User0615,Post039,2,1,MayAug-17
User0586,Post361,2,16,SepDec-17
User0580,Post113,2,8,SepDec-17
User0580,Post093,2,18,SepDec-17
User0580,Post452,2,16,SepDec-17
User0569,Post591,2,14,SepDec-17
User0569,Post514,2,NA,SepDec-17
User0569,Post133,2,12,SepDec-17
User0569,Post573,2,16,SepDec-17
User0569,Post154,2,13,SepDec-17
User0569,Post182,2,16,SepDec-17
User0569,Post175,2,18,SepDec-17
User0569,Post394,2,5,SepDec-17
User0569,Post269,2,12,SepDec-17
User0569,Post141,2,8,SepDec-17
User0569,Post117,2,17,SepDec-17
User2301,Post590,2,13,JanApr-17
User0569,Post457,2,12,MayAug-17
User0566,Post053,2,8,SepDec-16
User0561,Post238,2,16,SepDec-17
User0556,Post571,2,12,JanApr-17
User0556,Post281,2,12,JanApr-17
User0555,Post150,2,15,MayAug-17
User0543,Post597,2,1,JanApr-17
User0532,Post364,2,11,SepDec-17
User0532,Post087,2,12,SepDec-17
User0528,Post025,2,7,JanApr-17
User0523,Post074,2,1,MayAug-17
User0523,Post218,2,18,SepDec-17
User0523,Post487,2,14,MayAug-17
User0523,Post172,2,18,MayAug-17
User0511,Post426,2,15,MayAug-17
User0509,Post500,2,5,JanApr-17
User0507,Post094,2,16,SepDec-17
User0505,Post172,2,18,MayAug-17
User0505,Post570,2,8,JanApr-17
User0500,Post276,2,17,SepDec-17
User0494,Post479,2,17,SepDec-17
User0479,Post471,2,NA,SepDec-17
User0477,Post221,2,14,JanApr-17
User0477,Post546,2,9,JanApr-17
User0477,Post320,2,8,JanApr-17
User0475,Post150,2,15,MayAug-17
User0469,Post039,2,1,MayAug-17
User0462,Post513,2,6,JanApr-17
User0457,Post504,2,3,JanApr-17
User0457,Post567,2,7,JanApr-17
User0455,Post479,2,17,SepDec-17
User0455,Post083,2,NA,SepDec-17
User0455,Post299,2,NA,SepDec-17
User0455,Post312,2,NA,SepDec-17
User0455,Post489,2,1,SepDec-17
User0455,Post487,2,14,MayAug-17
User0455,Post512,2,NA,MayAug-17
User0455,Post325,2,7,MayAug-17
User0455,Post090,2,5,MayAug-17
User0455,Post506,2,13,MayAug-17
User0455,Post568,2,1,MayAug-17
User0455,Post051,2,11,JanApr-17
User0455,Post105,2,4,JanApr-17
User0455,Post034,2,8,JanApr-17
User0455,Post147,2,15,JanApr-17
User0455,Post213,2,8,JanApr-17
User0455,Post549,2,13,SepDec-16
User0455,Post148,2,15,SepDec-16
User0455,Post237,2,3,MayAug-16
User0454,Post369,2,1,MayAug-17
User0454,Post053,2,8,SepDec-16
User0454,Post246,2,15,SepDec-16
User0454,Post231,2,7,SepDec-16
User0454,Post351,2,4,SepDec-16
User0454,Post059,2,2,SepDec-16
User0454,Post138,2,6,SepDec-16
User2890,Post401,2,16,JanApr-17
User0360,Post401,2,16,JanApr-17
